"Position","Name","Type","Signal","Label"
"1","VBAT","Power","",""
"2","PC13","I/O","GPIO_EXTI13","B1 [Blue PushButton]"
"3","PC14/OSC32_IN","I/O","RCC_OSC32_IN",""
"4","PC15/OSC32_OUT","I/O","RCC_OSC32_OUT",""
"5","PH0/OSC_IN","I/O","RCC_OSC_IN",""
"6","PH1/OSC_OUT","I/O","RCC_OSC_OUT",""
"7","NRST","Reset","",""
"8","PC0","Input","GPIO_Input",""
"9","PC1","Input","GPIO_Input",""
"10","PC2","Input","GPIO_Input",""
"11","PC3","Input","GPIO_Input",""
"12","VSSA","Power","",""
"13","VDDA","Power","",""
"14","PA0","Input","GPIO_Input",""
"15","PA1","Input","GPIO_Input",""
"16","PA2","Input","GPIO_Input",""
"17","PA3","Input","GPIO_Input",""
"18","VSS","Power","",""
"19","VDD","Power","",""
"20","PA4","Input","GPIO_Input",""
"21","PA5","Input","GPIO_Input",""
"22","PA6","Input","GPIO_Input",""
"23","PA7","Input","GPIO_Input",""
"24","PC4","Input","GPIO_Input",""
"25","PC5","Input","GPIO_Input",""
"26","PB0","I/O","",""
"27","PB1","I/O","",""
"28","PB2","I/O","",""
"29","PB10","I/O","",""
"30","PB11","I/O","",""
"31","VSS","Power","",""
"32","VDD","Power","",""
"33","PB12","I/O","",""
"34","PB13","I/O","",""
"35","PB14","I/O","",""
"36","PB15","I/O","",""
"37","PC6","Input","GPIO_Input",""
"38","PC7","Input","GPIO_Input",""
"39","PC8","Output","GPIO_Output","EXTADC_EN"
"40","PC9","I/O","GPIO_EXTI9","SENS_TRG"
"41","PA8","I/O","RCC_MCO","SENS_CLK"
"42","PA9","I/O","",""
"43","PA10","I/O","",""
"44","PA11","I/O","",""
"45","PA12","I/O","",""
"46","PA13","I/O","SYS_JTMS-SWDIO","TMS"
"47","VSS","Power","",""
"48","VDDUSB","Power","",""
"49","PA14","I/O","SYS_JTCK-SWCLK","TCK"
"50","PA15","I/O","TIM2_CH1","SENS_ST"
"51","PC10","I/O","",""
"52","PC11","I/O","",""
"53","PC12","I/O","",""
"54","PD2","I/O","GPIO_EXTI2","EXTADC1_BUSY"
"55","PB3","I/O","SYS_JTDO-SWO","SWO"
"56","PB4","I/O","",""
"57","PB5","I/O","",""
"58","PB6","I/O","",""
"59","PB7","I/O","",""
"60","BOOT0","Boot","",""
"61","PB8","I/O","",""
"62","PB9","I/O","",""
"63","VSS","Power","",""
"64","VDD","Power","",""
